#symbol,announce_date,alloc_stock,alloc_price,total_share,x_date,registration_date,paydate_start,paydate_end,list_date,amount
600001.sh,20000627,2.73,5.5,136550.81,20000529,20000526,20000529,20000609,20000628,665747500,
600007.sh,20021024,6.00,,80000,,,,,,,
600030.sh,20040429,3.00,,248150,,,,,,,
600038.sh,20030926,1.88,14.09,24000,20030909,20030908,20030909,20030922,20031008,274755000,
600050.sh,20040727,3.00,3,500000,20040707,20040706,20040707,20040720,20040729,4500000000,
600051.sh,19980227,3.00,,,,,,,,,
600052.sh,20010921,3.00,10.12,42336,20010807,20010806,20010807,20010820,20010926,609967739.04,
600052.sh,19990814,3.00,6.95,25200,19990712,19990709,19990712,19990726,19990818,210168000,
600053.sh,20000707,3.00,6.88,13650,20000428,20000427,20000428,20000522,20000712,169041600,
600054.sh,19991016,3.00,,,,,,,,,
600055.sh,20011031,3.00,,11100,,,,,,,
600055.sh,19991204,3.00,9,10000,19991104,19991103,19991104,19991117,19991208,99000000,
600056.sh,20001215,3.00,12.5,12000,20001030,20001027,20001030,20001110,20001219,129375000,
600058.sh,20080311,3.00,18,82697.3,20080303,20080221,20080222,20080228,20080313,4408879068,
600058.sh,19980731,2.31,10,39000,19980817,19980814,19980817,19980828,19980916,340887100,
600059.sh,20010830,3.00,12.96,20600,20010802,20010801,20010802,20010815,20010904,347328000,
600059.sh,19990914,3.00,8,18000,19990818,19990817,19990818,19990831,19990917,208000000,
600060.sh,20010227,6.00,12.18,41449.15,20010115,20010112,20010115,20010209,20010302,965585800,
600060.sh,19980612,3.00,11,27000,19980629,19980626,19980629,19980710,19980727,286718709.68,
600061.sh,20001013,3.00,8,13200,20000908,20000907,20000908,20000921,20001018,92048000,
600061.sh,20000304,3.00,,11000,,,,,,,
600062.sh,20040527,3.00,,44107.57,,,,,,,
600062.sh,20010815,3.00,13,30569.5,20010713,20010712,20010713,20010726,20010820,436722000,
600062.sh,19990821,2.00,9.2,22050,19990729,19990728,19990729,19990811,19990825,134780000,
600063.sh,20030802,3.00,,25290,,,,,,,
600063.sh,20000628,1.79,6.5,23520,20000530,20000529,20000530,20000612,20000630,115050000,
600064.sh,19980730,2.50,10,17520,19980813,19980812,19980813,19980826,19980907,240000000,
600066.sh,20000927,3.00,10,11382.17,20001019,20001018,20001019,20001101,20001201,229019270,
600066.sh,19980806,3.00,12,7300,19980821,19980820,19980821,19980903,19980930,174662160,
600067.sh,20090728,3.00,0,61291.88,,,,,,0,
600067.sh,20020423,3.00,,10501.17,,,,,,,
600067.sh,20000714,3.00,5.2,8296.85,20000529,20000526,20000529,20000609,20000719,114624536,
600068.sh,20081213,3.00,0,166540.92,,,,,,0,
600068.sh,20001109,3.00,5.7,62300,20000920,20000919,20000920,20001010,20001114,471960000,
600068.sh,19980605,2.73,8,53900,19980622,19980619,19980622,19980703,19980729,672000000,
600069.sh,19981007,3.00,7,16000,19981022,19981021,19981022,19981104,19981130,180600000,
600070.sh,20020717,3.00,13,7573.3,20020624,20020621,20020624,20020705,20020719,128180000,
600070.sh,19991204,3.00,8,6720,19991103,19991102,19991103,19991117,19991209,68264000,
600071.sh,19991123,3.00,8,9452,19991013,19991012,19991013,19991026,19991129,103468800,
600072.sh,19990724,3.00,8.28,13201,19990702,19990701,19990702,19990715,19990728,327912840,
600073.sh,20000524,3.00,,,,,,,,,
600074.sh,20050511,3.00,,34128,,,,,,,
600074.sh,20010301,3.00,,14460,,,,,,,
600074.sh,19991116,2.08,8,12960,19991020,19991019,19991020,19991102,19991119,120000000,
600075.sh,20020628,3.00,,22680,,,,,,,
