000001.sh	上证综合指数
000002.sh	上证A股指数
000003.sh	上证B股指数
000004.sh	上证工业股指数
000005.sh	上证商业股指数
000006.sh	上证地产股指数
000007.sh	上证公用事业股指数
000008.sh	上证综合股指数
000010.sh	上证180指数
000011.sh	上证基金指数
000012.sh	上证国债指数
000013.sh	上证企债指数
000015.sh	红利指数
000016.sh	上证50指数
000017.sh	新综指
000018.sh	180金融
000019.sh	治理指数
000020.sh	中型综指
000021.sh	180治理
000022.sh	沪公司债
000023.sh	沪分离债
000025.sh	180基建
000026.sh	180资源
000027.sh	180运输
000028.sh	180成长
000029.sh	180价值
000030.sh	180R成长
000031.sh	180R价值
000032.sh	上证能源
000033.sh	上证材料
000034.sh	上证工业
000035.sh	上证可选
000036.sh	上证消费
000037.sh	上证医药
000038.sh	上证金融
000039.sh	上证信息
000040.sh	上证电信
000041.sh	上证公用
000042.sh	上证央企
000043.sh	超大盘
000044.sh	上证中盘
000045.sh	上证小盘
000046.sh	上证中小
000047.sh	上证全指
000048.sh	上证社会责任指数
000049.sh	上证民营企业50指数
000054.sh	上证海外上市A股指数
000055.sh	上证地方国有企业50指数
000056.sh	上证国有企业100指数
000057.sh	上证全指成长指数
000058.sh	上证全指价值指数
000059.sh	上证全指相对成长指数
000060.sh	上证全指相对价值指数
000061.sh	上证企债30指数
000062.sh	上证沪企指数
000063.sh	上证周期行业50指数
000064.sh	上证非周期行业100指数
000065.sh	上证龙头企业指数
000300.sh	沪深300
000901.sh	小康指数
000902.sh	中证流通
000903.sh	中证100
000904.sh	中证200
000905.sh	中证500
000906.sh	中证800
000907.sh	中证700
000908.sh	沪深300能源
000909.sh	沪深300材料
000910.sh	沪深300工业
000911.sh	沪深300可选
000912.sh	沪深300消费
000913.sh	沪深300医药
000914.sh	沪深300金融
000915.sh	沪深300信息
000916.sh	沪深300电信
000917.sh	沪深300公用
000918.sh	沪深300成长
000919.sh	沪深300价值
000920.sh	沪深300R成长
000921.sh	沪深300R价值
000922.sh	中证红利
000923.sh	公司债
000924.sh	分离债
000925.sh	基本面50
000926.sh	中证央企
000927.sh	央企100
000928.sh	中证能源
000929.sh	中证材料
000930.sh	中证工业
000931.sh	中证可选
000932.sh	中证消费
000933.sh	中证医药
000934.sh	中证金融
000935.sh	中证信息
000936.sh	中证电信
000937.sh	中证公用
000938.sh	中证民营企业综合指数
000939.sh	中证民营企业200指数
